VCD info: dumpfile rv_pl_tb.vcd opened for output.
CYCLE 36: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 36: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 38: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 38: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 40: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 40: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 42: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 42: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 44: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 44: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 46: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 46: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 48: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 48: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
